iter	Logloss
0	0.6303314853
1	0.5872195556
2	0.5482097371
3	0.520750295
4	0.4957336751
5	0.4786548344
6	0.4644010998
7	0.4554643057
8	0.4420135995
9	0.4358691426
10	0.4288256009
11	0.424174018
12	0.4182999255
13	0.413710019
14	0.4104711538
15	0.4075339369
16	0.4047664949
17	0.402355729
18	0.3989379245
19	0.3964207584
20	0.3937999321
21	0.3905074601
22	0.3886754848
23	0.3871524769
24	0.3847335906
25	0.3828919717
26	0.3810416086
27	0.3794107837
28	0.3780469545
29	0.3759042041
30	0.3744023617
31	0.3727351066
32	0.37090639
33	0.3697761881
34	0.3684745322
35	0.3676046862
36	0.3663152242
37	0.3645406961
38	0.3629122792
39	0.3614444398
40	0.3604649764
41	0.3592841393
42	0.3580004097
43	0.3572591514
44	0.3560525078
45	0.3547207971
46	0.3537619402
47	0.3530483217
48	0.3518350206
49	0.3507708736
50	0.3496137279
51	0.348692303
52	0.3474794612
53	0.3468162608
54	0.3458444101
55	0.3450498273
56	0.344418767
57	0.3432825836
58	0.342339253
59	0.3414934982
60	0.3401912966
61	0.3394862585
62	0.3387375825
63	0.3375986511
64	0.3366072606
65	0.3358503734
66	0.3345832933
67	0.333325458
68	0.332157229
69	0.3312123951
70	0.3300690217
71	0.3289307407
72	0.3283368948
73	0.3268858091
74	0.3262266386
75	0.3250316619
76	0.3238454934
77	0.3230176601
78	0.322083557
79	0.3212135799
80	0.3200412068
81	0.3192984371
82	0.3181228673
83	0.3174271014
84	0.3166363099
85	0.3157147108
86	0.3149062337
87	0.3139452433
88	0.312870478
89	0.3120767067
90	0.3113371285
91	0.3103761607
92	0.309164615
93	0.3081679814
94	0.3073457208
95	0.3063511213
96	0.305446435
97	0.3047288083
98	0.3039524294
99	0.302832801
100	0.3017446577
101	0.3006458821
102	0.2997412719
103	0.2990944705
104	0.2982358045
105	0.2974668388
106	0.2968110548
107	0.2956493929
108	0.2948117572
109	0.2939451999
110	0.2927231487
111	0.2917816215
112	0.290936211
113	0.290045594
114	0.2888587449
115	0.2882698396
116	0.2872250727
117	0.2864594425
118	0.2854682014
119	0.284705196
120	0.2836446308
121	0.2826681969
122	0.281459782
123	0.2807511579
124	0.2801057413
125	0.279164088
126	0.2782415199
127	0.2774992341
128	0.2763963689
129	0.2750981548
130	0.2741073297
131	0.2734275335
132	0.2725762526
133	0.2711003387
134	0.2703939428
135	0.2694534538
136	0.2685698833
137	0.2675792945
138	0.2669419262
139	0.2660825115
140	0.2650281229
141	0.2640912665
142	0.2630071098
143	0.262173132
144	0.2616286915
145	0.2603794314
146	0.2595844039
147	0.2587834519
148	0.257814275
149	0.2568061148
150	0.2561244025
151	0.25534451
152	0.2545735308
153	0.2537880898
154	0.2527425175
155	0.2520718088
156	0.2512067499
157	0.2506788634
158	0.2496098368
159	0.248564439
160	0.2477079678
161	0.2469874411
162	0.2463577486
163	0.2452958939
164	0.2442653353
165	0.2432921231
166	0.2423324681
167	0.2418845619
168	0.241050282
169	0.2403425988
170	0.2395934174
171	0.23859255
172	0.2375714646
173	0.2368199397
174	0.2361634335
175	0.2356933516
176	0.2348697321
177	0.2342428793
178	0.2334344105
179	0.23254051
180	0.2318193574
181	0.2311099726
182	0.2305090863
183	0.2297568709
184	0.229264798
185	0.2285774281
186	0.2277909194
187	0.2269855522
188	0.226417908
189	0.2257017545
190	0.2249774812
191	0.2240637899
192	0.2235316975
193	0.2230837335
194	0.2225329738
195	0.221704187
196	0.221303685
197	0.2206327236
198	0.2200291505
199	0.2191148902
200	0.2185542925
201	0.2177633363
202	0.2173376053
203	0.216457096
204	0.2158957332
205	0.2151220892
206	0.2144612124
207	0.2140711863
208	0.2132311217
209	0.2125103543
210	0.2117977298
211	0.2109654177
212	0.2103412583
213	0.2095092168
214	0.2089477617
215	0.2082936198
216	0.2076821164
217	0.2070870947
218	0.2064000931
219	0.2057848628
220	0.2051894234
221	0.2044952409
222	0.2037789757
223	0.2032598535
224	0.2026757133
225	0.2021758098
226	0.2014797898
227	0.2006293936
228	0.1999246534
229	0.199539189
230	0.1989873415
231	0.1985202621
232	0.1978856713
233	0.1973838311
234	0.1967501667
235	0.1959717179
236	0.1955576968
237	0.1950548817
238	0.1945835946
239	0.1941981229
240	0.1937289483
241	0.1930176396
242	0.1926940215
243	0.1918804522
244	0.1915617533
245	0.1909589421
246	0.190349615
247	0.1896287758
248	0.1891423831
249	0.188535748
250	0.1877853568
251	0.1873335256
252	0.1867819753
253	0.186150503
254	0.1856108556
255	0.1849752431
256	0.1843983368
257	0.1838272536
258	0.1833100251
259	0.1826441426
260	0.1818852675
261	0.1816006862
262	0.1806313371
263	0.1799094854
264	0.1794287198
265	0.1789130692
266	0.1781283076
267	0.1773554721
268	0.1768709305
269	0.1762974852
270	0.1758038823
271	0.1751446615
272	0.1744710384
273	0.1740268599
274	0.1734188362
275	0.1729826013
276	0.1723940944
277	0.1716715225
278	0.1711547204
279	0.1706723369
280	0.1701195784
281	0.169827861
282	0.1694735152
283	0.169104222
284	0.1685840294
285	0.1681615319
286	0.1676549506
287	0.1670895863
288	0.1666084937
289	0.1661305193
290	0.165629009
291	0.1652517829
292	0.1648694254
293	0.1643713669
294	0.1640973535
295	0.1638488989
296	0.1634805761
297	0.1628910158
298	0.1624838599
299	0.1620218582
