,precision,recall,f1-score,support
No,0.8186372745490982,0.8353783231083844,0.8269230769230769,978.0
Yes,0.8319415448851775,0.8149284253578732,0.8233471074380165,978.0
accuracy,0.8251533742331288,0.8251533742331288,0.8251533742331288,0.8251533742331288
macro avg,0.8252894097171378,0.8251533742331288,0.8251350921805467,1956.0
weighted avg,0.8252894097171378,0.8251533742331288,0.8251350921805467,1956.0
