,precision,recall,f1-score,support
No,0.7865055387713998,0.7985685071574642,0.7924911212582445,978.0
Yes,0.7954309449636553,0.7832310838445807,0.7892838742916023,978.0
accuracy,0.7908997955010225,0.7908997955010225,0.7908997955010225,0.7908997955010225
macro avg,0.7909682418675276,0.7908997955010224,0.7908874977749234,1956.0
weighted avg,0.7909682418675276,0.7908997955010225,0.7908874977749234,1956.0
