k,ASW
2,0.0067587269019741105
3,0.0006187402738039885
4,-0.00014707228220759897
5,-0.0018189121851705035
6,-0.0030645606343604917
7,-0.0038648813894426232
8,-0.003387399276747292
9,-0.004516933360654871
