k,ASW
2,0.008847173170605302
3,0.003267257584773311
4,-0.00011742208462378663
5,-0.0034832890029432855
6,-0.0033556100397647243
7,-0.004913295858857171
8,-0.005153260218739218
9,-0.005669503026693404
